,Duration,Location,Volume,Description
0, 1 hour ,Locarno,91, 91.2 mm Locarno-Monti (TI) 366 m above sea level 28 August 1997 
1, 1 hour ,Holt,305," 305.0 mm Holt, Montana, USA 263 m above sea level 22 June 1947 "
2, 1 month ,Camedo,1239," 1,239 mm Camedo (TI) 550 m above sea level April 1986 "
3, 1 year ,Säntis,4173," 4,173 mm Säntis 2,502 m above sea level 1922 "
4, 1 year ,Cherrapunji,26470," 26,470 mm Cherrapunji, India 1,313 m above sea level 1860-1861 "
5, 10 minutes ,Lausanne,41, 41.0 mm Lausanne 601 m above sea level 11 June 2018 
6, 2 days ,Mosogno,612, 612 mm Mosogno (TI) 760 m above sea level 23-24 September 1924 
7, 2 days ,Cherrapunji,2493," 2,493 mm Cherrapunji, India 1,313 m above sea level 15-16 June 1995 "
8, 24 hours ,Camedo,455, 455 mm Camedo (TI) 550 m above sea level 26 August 1935 
9, 24 hours ,Foc,1825," 1,825 mm Foc-Foc, La Réunion 2,290 m above sea level 7-8 January 1966 "
10, 3 days ,Camedo,768, 768 mm Camedo (TI) 550 m above sea level 3-5 September 1948 
11, 3 days ,Cratère,3930," 3,930 mm Cratère Commerson, La Réunion 2,310 m above sea level 24-26 February 2007 "
